competition,year,vehicle_type,source_file,team,car_num,overall_place,total_score,penalty,total_score_clean,country,engine_cylinders,num_motors,engine_displacement_cc,tractive_system_voltage_v,weight_reported_kg,weight_reported_lbs,design_status_final_or_blank,design_raw_score,design_document_penalty,design_late_penalty,design_score,presentation_status_final_or_blank_or_rfp,presentation_raw_score,presentation_penalty,presentation_score,cost_adjusted_cost,cost_price_score,cost_accuracy_score,cost_engineering_drawings_score,cost_scenario_score,cost_penalty,cost_score,acceleration_number_of_runs,acceleration_best_time_raw,acceleration_best_time_cones,acceleration_best_adjusted_time,acceleration_penalty,acceleration_score,skidpad_number_of_runs,skidpad_best_time_raw_left,skidpad_best_time_raw_right,skidpad_best_time_raw_average,skidpad_best_time_cones,skidpad_best_adjusted_time,skidpad_penalty,skidpad_score,autocross_number_of_runs,autocross_best_time_raw,autocross_best_time_cones,autocross_best_time_off_course,autocross_best_adjusted_time,autocross_penalty,autocross_score,endurance_number_of_laps,endurance_time_raw,endurance_cones,endurance_off_course,endurance_other_penalty,endurance_time_adjusted,endurance_time_score,endurance_lap_score,endurance_score,efficiency_time_average_adjusted,efficiency_laps_completed,efficiency_fuel_used_ltr,efficiency_energy_used_kwh,efficiency_adjusted_co2_kg,efficiency_average_adjusted_co2_per_lap_kg,efficiency_fuel_type_e85_93_100_ev_etc,efficiency_fuel_efficiency_factor,efficiency_score,endurance_efficiency_score,team_normalized,event_id,entry_id,overall_percentile
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Michigan Tech Univ,45.0,57.0,239.7,,239.7,US,2.0,,500.0,,255.8,564.0,0.0,80.0,,,80.0,,43.9,,43.9,16541.0,26.3,,,16.0,,79.3,2.0,4.619,,4.619,,4.5,1.0,6.136,6.386,6.261,,6.261,,3.5,2.0,58.262,,,58.262,,27.5,1.0,182.336,,,,,,,1.0,,,,,,,,,,1.0,michigan_tech_univ,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_45_michigan_tech_univ,36.36
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Univ of North Dakota,105.0,58.0,227.8,,227.8,US,2.0,,320.0,,173.3,382.0,0.0,60.0,10.0,,50.0,,39.6,,39.6,13319.0,31.2,,,15.0,,82.2,4.0,5.715,,5.715,,24.5,3.0,5.467,6.724,6.0955,,6.095,,9.8,4.0,58.33,1.0,,60.33,,17.8,4.0,883.829,,,,,,,4.0,,,,,,,,,,4.0,univ_of_north_dakota,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_105_univ_of_north_dakota,35.23
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Univ of Texas - Dallas,129.0,59.0,225.6,,225.6,US,4.0,,600.0,,249.0,549.0,0.0,60.0,10.0,,50.0,,63.0,,63.0,18062.0,24.0,,,17.0,10.0,48.0,1.0,5.463,,5.463,,34.3,1.0,6.286,6.414,6.35,,6.35,,3.5,1.0,58.386,,,58.386,,26.9,,,,,,,,,,,,,,,,,,,,univ_of_texas_dallas,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_129_univ_of_texas_dallas,34.09
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,South Dakota School of Mines & Technology,98.0,60.0,220.7,,220.7,US,4.0,,600.0,,232.7,513.0,0.0,80.0,,,80.0,,72.3,,72.3,27122.0,10.2,,,11.5,,32.7,2.0,6.655,,6.655,,4.5,1.0,6.073,5.924,5.9985,,5.998,,14.2,2.0,59.619,1.0,,61.619,,12.0,5.0,1085.821,,,,,,,5.0,,,,,,,,,,5.0,south_dakota_school_of_mines_technology,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_98_south_dakota_school_of_mines_technology,32.95
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,South Dakota State Univ,66.0,61.0,217.2,,217.2,US,2.0,,670.0,,209.6,462.0,0.0,60.0,,,60.0,,48.0,,48.1,12445.0,32.5,,,11.0,,54.5,4.0,7.637,,7.637,,4.5,4.0,5.99,5.817,5.9035,,5.903,,18.7,4.0,61.691,1.0,,63.691,,6.5,10.0,2237.366,11.0,5.0,,2359.366,,,25.0,235.937,10.0,4.714,,10.889,1.0889,93,,0.0,25.0,south_dakota_state_univ,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_66_south_dakota_state_univ,31.82
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Mississippi State Univ,113.0,62.0,226.0,10.0,216.0,US,1.0,,450.0,,184.6,407.0,0.0,80.0,,,80.0,,45.4,,45.4,17444.0,24.9,,,15.0,30.0,41.9,,,,,,,,,,,,,,,2.0,53.168,,,53.168,,54.7,4.0,873.359,,,,,,,4.0,,,,,,,,,,4.0,mississippi_state_univ,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_113_mississippi_state_univ,30.68
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Rensselaer Polytechnic Institute,154.0,63.0,211.0,,211.0,US,4.0,,600.0,,195.5,431.0,0.0,100.0,,,100.0,,47.1,,47.1,17764.0,24.4,,,19.0,,57.4,,,,,,,,,,,,,,,1.0,77.804,,,77.804,,6.5,,,,,,,,,,,,,,,,,,,,rensselaer_polytechnic_institute,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_154_rensselaer_polytechnic_institute,29.55
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Columbia University,53.0,64.0,202.6,,202.6,US,4.0,,600.0,,216.4,477.0,0.0,80.0,,,80.0,,41.2,,41.2,14142.0,29.9,,,16.5,,81.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columbia_university,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_53_columbia_university,28.41
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Lehigh Univ,124.0,65.0,201.4,,201.4,US,1.0,,450.0,,172.8,381.0,0.0,80.0,,,80.0,,72.2,,72.2,15557.0,27.8,,,12.5,,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lehigh_univ,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_124_lehigh_univ,27.27
Formula SAE Michigan,2022,IC,FSAE_Michigan/results_2022.xlsx,Universidad Simon Bolivar,76.0,66.0,196.0,,196.0,VE,4.0,,600.0,,236.3,521.0,0.0,80.0,,,80.0,,33.6,,33.6,10178.0,35.9,,,18.5,,82.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,universidad_simon_bolivar,formula_sae_michigan_2022,formula_sae_michigan_2022_IC_76_universidad_simon_bolivar,26.14
