competition,year,vehicle_type,source_file,team,car_num,overall_place,total_score,penalty,total_score_clean,country,engine_cylinders,num_motors,engine_displacement_cc,tractive_system_voltage_v,weight_reported_kg,weight_reported_lbs,design_status_final_or_blank,design_raw_score,design_document_penalty,design_late_penalty,design_score,presentation_status_final_or_blank_or_rfp,presentation_raw_score,presentation_penalty,presentation_score,cost_adjusted_cost,cost_price_score,cost_accuracy_score,cost_engineering_drawings_score,cost_scenario_score,cost_penalty,cost_score,acceleration_number_of_runs,acceleration_best_time_raw,acceleration_best_time_cones,acceleration_best_adjusted_time,acceleration_penalty,acceleration_score,skidpad_number_of_runs,skidpad_best_time_raw_left,skidpad_best_time_raw_right,skidpad_best_time_raw_average,skidpad_best_time_cones,skidpad_best_adjusted_time,skidpad_penalty,skidpad_score,autocross_number_of_runs,autocross_best_time_raw,autocross_best_time_cones,autocross_best_time_off_course,autocross_best_adjusted_time,autocross_penalty,autocross_score,endurance_number_of_laps,endurance_time_raw,endurance_cones,endurance_off_course,endurance_other_penalty,endurance_time_adjusted,endurance_time_score,endurance_lap_score,endurance_score,efficiency_time_average_adjusted,efficiency_laps_completed,efficiency_fuel_used_ltr,efficiency_energy_used_kwh,efficiency_adjusted_co2_kg,efficiency_average_adjusted_co2_per_lap_kg,efficiency_fuel_type_e85_93_100_ev_etc,efficiency_fuel_efficiency_factor,efficiency_score,endurance_efficiency_score,team_normalized,event_id,entry_id,overall_percentile
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Maryland - College Park,19.0,1.0,813.4,,813.4,,,,,,,,0.0,100.0,,,100.0,,64.49,,64.5,,,,,,,79.0,4.0,3.912,,3.912,,75.0,4.0,5.135,5.047,5.091,,5.091,,45.2,4.0,49.322,,,49.322,,129.1,,,,,,,,,,,,,,,,,,,320.7,univ_of_maryland_college_park,formula_sae_california_2008,formula_sae_california_2008_IC_19_univ_of_maryland_college_park,100.0
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Missouri University of Science and Tech,82.0,2.0,799.1,,799.1,,,,,,,,0.0,100.0,,,100.0,,63.49,,63.5,,,,,,,82.0,4.0,4.389,,4.389,,51.1,4.0,5.564,5.494,5.529,,5.529,,25.0,4.0,47.869,,,47.869,,150.0,,,,,,,,,,,,,,,,,,,327.5,missouri_university_of_science_and_tech,formula_sae_california_2008,formula_sae_california_2008_IC_82_missouri_university_of_science_and_tech,98.31
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Oklahoma,79.0,3.0,788.3,,788.3,,,,,,,,0.0,110.0,,,110.0,,55.61,,55.6,,,,,,,84.0,4.0,4.423,,4.423,,49.6,2.0,5.027,5.068,5.0475,,5.047,,47.5,4.0,49.987,,,49.987,,119.9,,,,,,,,,,,,,,,,,,,321.7,univ_of_oklahoma,formula_sae_california_2008,formula_sae_california_2008_IC_79_univ_of_oklahoma,96.61
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Michigan State Univ,10.0,4.0,784.6,,784.6,,,,,,,,1.0,140.0,,,140.0,,65.85,,65.9,,,,,,,68.0,4.0,4.371,,4.371,,51.9,4.0,5.258,5.387,5.3225,,5.322,,33.9,4.0,50.118,,,50.118,,118.2,,,,,,,,,,,,,,,,,,,306.7,michigan_state_univ,formula_sae_california_2008,formula_sae_california_2008_IC_10_michigan_state_univ,94.92
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,California State Poly Univ - Pomona,13.0,5.0,699.8,,699.8,,,,,,,,0.0,80.0,,,80.0,,73.25,,73.3,,,,,,,67.0,3.0,9.579,,9.579,,3.5,4.0,4.972,5.031,5.0015,,5.001,,50.0,4.0,53.815,,,53.815,,71.6,,,,,,,,,,,,,,,,,,,354.4,california_state_poly_univ_pomona,formula_sae_california_2008,formula_sae_california_2008_IC_13_california_state_poly_univ_pomona,93.22
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Western Washington Univ,35.0,6.0,693.8,,693.8,,,,,,,,1.0,125.0,,,125.0,,65.53,,65.5,,,,,,,70.0,4.0,4.145,,4.145,,62.7,4.0,5.128,5.23,5.179,,5.179,,40.7,4.0,51.032,,,51.032,,106.0,,,,,,,,,,,,,,,,,,,223.8,western_washington_univ,formula_sae_california_2008,formula_sae_california_2008_IC_35_western_washington_univ,91.53
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Toledo,5.0,7.0,682.5,,682.5,,,,,,,,0.0,80.0,,,80.0,,52.48,,52.5,,,,,,,75.0,4.0,4.329,,4.329,,53.8,3.0,5.457,5.185,5.321,,5.321,,34.0,4.0,51.558,,,51.558,,99.2,,,,,,,,,,,,,,,,,,,288.0,univ_of_toledo,formula_sae_california_2008,formula_sae_california_2008_IC_5_univ_of_toledo,89.83
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Cincinnati,83.0,8.0,665.5,,665.5,,,,,,,,0.0,100.0,,,100.0,,56.35,,56.4,,,,,,,77.0,4.0,4.392,,4.392,,51.0,4.0,5.223,5.242,5.2325,,5.232,,38.1,4.0,47.955,,,47.955,,148.7,,,,,,,,,,,,,,,,,,,194.3,univ_of_cincinnati,formula_sae_california_2008,formula_sae_california_2008_IC_83_univ_of_cincinnati,88.14
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Rensselaer Polytechnic Inst,77.0,9.0,635.2,,635.2,,,,,,,,0.0,100.0,,,100.0,,68.98,,69.0,,,,,,,70.0,4.0,4.061,,4.061,,66.9,4.0,5.422,5.403,5.4125,,5.412,,29.9,4.0,53.413,,,53.413,,76.4,,,,,,,,,,,,,,,,,,,222.9,rensselaer_polytechnic_inst,formula_sae_california_2008,formula_sae_california_2008_IC_77_rensselaer_polytechnic_inst,86.44
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Kansas State Univ,50.0,10.0,603.5,,603.5,,,,,,,,0.0,60.0,,,60.0,,49.2,,49.2,,,,,,,51.0,4.0,4.633,,4.633,,40.8,4.0,5.34,5.328,5.334,,5.334,,33.4,4.0,49.897,,,49.897,,121.2,,,,,,,,,,,,,,,,,,,248.0,kansas_state_univ,formula_sae_california_2008,formula_sae_california_2008_IC_50_kansas_state_univ,84.75
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Chalmers Univ of Tech,49.0,11.0,601.0,,601.0,,,,,,,,0.0,60.0,,,60.0,,75.0,,75.0,,,,,,,75.0,4.0,4.511,,4.511,,45.8,4.0,5.253,5.403,5.328,,5.328,,33.7,4.0,51.56,,,51.56,,99.2,,,,,,,,,,,,,,,,,,,212.3,chalmers_univ_of_tech,formula_sae_california_2008,formula_sae_california_2008_IC_49_chalmers_univ_of_tech,83.05
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,California State Univ - Northridge,7.0,12.0,600.3,,600.3,,,,,,,,0.0,80.0,,,80.0,,47.93,,47.9,,,,,,,66.0,4.0,4.136,,4.136,,63.1,4.0,5.471,5.523,5.497,,5.497,,26.3,4.0,51.101,,,51.101,,105.1,,,,,,,,,,,,,,,,,,,211.8,california_state_univ_northridge,formula_sae_california_2008,formula_sae_california_2008_IC_7_california_state_univ_northridge,81.36
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Clemson Univ,80.0,13.0,592.9,,592.9,,,,,,,,0.0,60.0,,,60.0,,56.47,,56.5,,,,,,,86.0,3.0,4.084,,4.084,,65.7,3.0,5.172,5.438,5.305,,5.305,,34.7,4.0,50.605,,,50.605,,111.6,,,,,,,,,,,,,,,,,,,178.3,clemson_univ,formula_sae_california_2008,formula_sae_california_2008_IC_80_clemson_univ,79.66
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Idaho,29.0,14.0,553.4,,553.4,,,,,,,,0.0,60.0,,,60.0,,50.41,,50.4,,,,,,,65.0,4.0,4.309,,4.309,,54.8,4.0,5.422,5.509,5.4655,1.0,5.59,,22.6,4.0,55.08,,,55.08,,57.1,,,,,,,,,,,,,,,,,,,243.5,univ_of_idaho,formula_sae_california_2008,formula_sae_california_2008_IC_29_univ_of_idaho,77.97
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Alberta,46.0,15.0,491.0,,491.0,,,,,,,,0.0,80.0,,,80.0,,54.46,,54.5,,,,,,,73.0,4.0,4.115,,4.115,,64.2,4.0,5.701,5.612,5.6565,,5.656,,20.0,4.0,58.312,,,58.312,,22.9,,,,,,,,,,,,,,,,,,,176.4,univ_of_alberta,formula_sae_california_2008,formula_sae_california_2008_IC_46_univ_of_alberta,76.27
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,South Dakota Sch of Mines & Tech,6.0,16.0,478.5,,478.5,,,,,,,,0.0,120.0,,,120.0,,71.32,,71.3,,,,,,,55.0,4.0,4.443,,4.443,,48.7,4.0,5.096,5.144,5.12,,5.12,,43.7,4.0,48.569,,,48.569,,139.8,,,,,,,,,,,,,,,,,,,,south_dakota_sch_of_mines_tech,formula_sae_california_2008,formula_sae_california_2008_IC_6_south_dakota_sch_of_mines_tech,74.58
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Washington,12.0,17.0,475.7,,475.7,,,,,,,,1.0,135.0,,,135.0,,60.14,,60.1,,,,,,,64.0,4.0,4.442,,4.442,,48.8,4.0,5.171,5.213,5.192,,5.192,,40.1,4.0,49.423,,,49.423,,127.7,,,,,,,,,,,,,,,,,,,,univ_of_washington,formula_sae_california_2008,formula_sae_california_2008_IC_12_univ_of_washington,72.88
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Ecole Polytechnique De Montreal,78.0,18.0,465.3,,465.3,,,,,,,,0.0,100.0,,,100.0,,67.31,,67.3,,,,,,,61.0,4.0,4.594,,4.594,,42.4,4.0,5.276,5.363,5.3195,,5.319,,34.1,4.0,52.753,,,52.753,,84.3,,,,,,,,,,,,,,,,,,,76.2,ecole_polytechnique_de_montreal,formula_sae_california_2008,formula_sae_california_2008_IC_78_ecole_polytechnique_de_montreal,71.19
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Texas - Austin,47.0,19.0,454.2,,454.2,,,,,,,,0.0,60.0,,,60.0,,49.56,,49.6,,,,,,,69.0,4.0,5.157,,5.157,,22.0,4.0,5.556,5.421,5.4885,1.0,5.613,,21.7,4.0,55.169,,,55.169,,56.1,,,,,,,,,,,,,,,,,,,175.9,univ_of_texas_austin,formula_sae_california_2008,formula_sae_california_2008_IC_47_univ_of_texas_austin,69.49
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Manitoba,28.0,20.0,447.7,,447.7,,,,,,,,0.0,120.0,,,120.0,,57.72,,57.7,,,,,,,78.0,1.0,5.865,,5.865,,3.5,,,,,,,,,4.0,54.84,,,54.84,,59.8,,,,,,,,,,,,,,,,,,,128.7,univ_of_manitoba,formula_sae_california_2008,formula_sae_california_2008_IC_28_univ_of_manitoba,67.8
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Honda Technical College Kansai,73.0,21.0,436.3,,436.3,,,,,,,,0.0,60.0,,,60.0,,47.66,,47.7,,,,,,,64.0,4.0,5.327,,5.327,,16.7,4.0,5.14,5.257,5.1985,,5.198,,39.8,4.0,55.75,,,55.75,,49.7,,,,,,,,,,,,,,,,,,,158.4,honda_technical_college_kansai,formula_sae_california_2008,formula_sae_california_2008_IC_73_honda_technical_college_kansai,66.1
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Oregon State Univ,22.0,22.0,429.5,,429.5,,,,,,,,0.0,100.0,,,100.0,,60.67,,60.7,,,,,,,62.0,4.0,4.113,,4.113,,64.3,4.0,5.12,5.073,5.0965,,5.096,,44.9,2.0,51.684,,,51.684,,97.6,,,,,,,,,,,,,,,,,,,,oregon_state_univ,formula_sae_california_2008,formula_sae_california_2008_IC_22_oregon_state_univ,64.41
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Centro Universitario Da FEI,11.0,23.0,382.1,,382.1,,,,,,,,0.0,110.0,,,110.0,,44.47,,44.5,,,,,,,73.0,4.0,4.38,,4.38,,51.5,2.0,5.667,5.629,5.648,1.0,5.773,,15.7,4.0,52.505,,,52.505,,87.4,,,,,,,,,,,,,,,,,,,,centro_universitario_da_fei,formula_sae_california_2008,formula_sae_california_2008_IC_11_centro_universitario_da_fei,62.71
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of New Mexico,32.0,24.0,358.6,,358.6,,,,,,,,0.0,80.0,,,80.0,,57.32,,57.3,,,,,,,58.0,4.0,4.291,,4.291,,55.6,4.0,5.528,5.572,5.55,,5.55,,24.2,4.0,52.822,,,52.822,,83.5,,,,,,,,,,,,,,,,,,,,univ_of_new_mexico,formula_sae_california_2008,formula_sae_california_2008_IC_32_univ_of_new_mexico,61.02
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Calif - Berkeley,21.0,25.0,354.5,,354.5,,,,,,,,0.0,80.0,,,80.0,,64.64,,64.6,,,,,,,69.0,4.0,5.552,,5.552,,10.1,4.0,5.131,5.373,5.252,,5.252,,37.2,4.0,52.006,,,52.006,,93.6,,,,,,,,,,,,,,,,,,,,univ_of_calif_berkeley,formula_sae_california_2008,formula_sae_california_2008_IC_21_univ_of_calif_berkeley,59.32
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Delaware,30.0,26.0,319.8,,319.8,,,,,,,,0.0,80.0,,,80.0,,46.6,,46.6,,,,,,,57.0,4.0,5.11,,5.11,,23.5,4.0,5.459,5.543,5.501,,5.501,,26.2,4.0,52.574,,,52.574,,86.5,,,,,,,,,,,,,,,,,,,,univ_of_delaware,formula_sae_california_2008,formula_sae_california_2008_IC_30_univ_of_delaware,57.63
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Brigham Young Univ,37.0,27.0,307.6,,307.6,,,,,,,,0.0,110.0,,,110.0,,58.22,,58.2,,,,,,,60.0,2.0,4.497,,4.497,,46.4,4.0,5.53,5.509,5.5195,,5.519,,25.4,3.0,61.014,,,61.014,,7.5,,,,,,,,,,,,,,,,,,,,brigham_young_univ,formula_sae_california_2008,formula_sae_california_2008_IC_37_brigham_young_univ,55.93
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Texas - San Antonio,34.0,28.0,302.0,,302.0,,,,,,,,0.0,40.0,,,40.0,,54.17,,54.2,,,,,,,52.0,4.0,4.829,,4.829,,33.3,3.0,5.657,5.591,5.624,,5.624,,21.3,4.0,51.398,,,51.398,,101.3,,,,,,,,,,,,,,,,,,,,univ_of_texas_san_antonio,formula_sae_california_2008,formula_sae_california_2008_IC_34_univ_of_texas_san_antonio,54.24
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Oklahoma State Univ,53.0,29.0,298.9,,298.9,,,,,,,,0.0,100.0,,,100.0,,37.4,,37.4,,,,,,,75.0,4.0,4.764,,4.764,,35.7,4.0,5.784,5.683,5.7335,,5.733,,17.2,4.0,57.264,,,57.264,,33.6,,,,,,,,,,,,,,,,,,,,oklahoma_state_univ,formula_sae_california_2008,formula_sae_california_2008_IC_53_oklahoma_state_univ,52.54
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of British Columbia,27.0,30.0,297.7,,297.7,,,,,,,,0.0,60.0,,,60.0,,34.22,,34.2,,,,,,,83.0,2.0,4.383,,4.383,,51.4,2.0,5.599,5.914,5.7565,1.0,5.881,,12.0,3.0,53.085,1.0,,55.085,,57.1,,,,,,,,,,,,,,,,,,,,univ_of_british_columbia,formula_sae_california_2008,formula_sae_california_2008_IC_27_univ_of_british_columbia,50.85
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Dartmouth College,39.0,31.0,284.8,,284.8,,,,,,,,0.0,40.0,,,40.0,,63.63,,63.6,,,,,,,63.0,4.0,4.69,,4.69,,38.6,4.0,5.384,5.904,5.644,,5.644,,20.5,2.0,54.901,,,54.901,,59.1,,,,,,,,,,,,,,,,,,,,dartmouth_college,formula_sae_california_2008,formula_sae_california_2008_IC_39_dartmouth_college,49.15
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Instituto Tecnologico de Chihuahua,40.0,32.0,284.6,,284.6,,,,,,,,0.0,80.0,,,80.0,,61.06,,61.1,,,,,,,66.0,2.0,4.623,,4.623,,41.2,2.0,6.85,6.622,6.736,,6.736,,2.5,4.0,57.243,,,57.243,,33.8,,,,,,,,,,,,,,,,,,,,instituto_tecnologico_de_chihuahua,formula_sae_california_2008,formula_sae_california_2008_IC_40_instituto_tecnologico_de_chihuahua,47.46
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Northern Illinois Univ,45.0,33.0,278.7,,278.7,,,,,,,,0.0,110.0,,,110.0,,59.66,,59.7,,,,,,,86.0,,,,,,,,,,,,,,,4.0,58.305,,,58.305,,23.0,,,,,,,,,,,,,,,,,,,,northern_illinois_univ,formula_sae_california_2008,formula_sae_california_2008_IC_45_northern_illinois_univ,45.76
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Washington State Univ,31.0,34.0,274.6,,274.6,,,,,,,,0.0,60.0,,,60.0,,42.53,,42.5,,,,,,,63.0,4.0,5.033,,5.033,,26.1,4.0,5.503,5.569,5.536,,5.536,,24.7,4.0,54.978,,,54.978,,58.3,,,,,,,,,,,,,,,,,,,,washington_state_univ,formula_sae_california_2008,formula_sae_california_2008_IC_31_washington_state_univ,44.07
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Southern California,20.0,35.0,257.4,,257.4,,,,,,,,0.0,80.0,,,80.0,,38.15,,38.2,,,,,,,68.0,4.0,5.189,,5.189,,20.9,3.0,5.808,6.39,6.099,4.0,6.599,,2.5,4.0,55.928,,,55.928,,47.8,,,,,,,,,,,,,,,,,,,,univ_of_southern_california,formula_sae_california_2008,formula_sae_california_2008_IC_20_univ_of_southern_california,42.37
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Minnesota - Twin Cities,61.0,36.0,255.7,,255.7,,,,,,,,0.0,60.0,,,60.0,,34.89,,34.9,,,,,,,36.0,4.0,4.488,,4.488,,46.8,4.0,5.296,5.524,5.41,,5.41,,30.0,4.0,55.906,,,55.906,,48.0,,,,,,,,,,,,,,,,,,,,univ_of_minnesota_twin_cities,formula_sae_california_2008,formula_sae_california_2008_IC_61_univ_of_minnesota_twin_cities,40.68
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Polytechnic Univ - Brooklyn,41.0,37.0,223.6,,223.6,,,,,,,,0.0,40.0,,,40.0,,28.16,,28.2,,,,,,,60.0,4.0,5.035,,5.035,,26.0,4.0,5.658,5.814,5.736,,5.736,,17.1,3.0,55.507,,,55.507,,52.4,,,,,,,,,,,,,,,,,,,,polytechnic_univ_brooklyn,formula_sae_california_2008,formula_sae_california_2008_IC_41_polytechnic_univ_brooklyn,38.98
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Arizona,14.0,38.0,215.4,,215.4,,,,,,,,0.0,80.0,,,80.0,,51.41,,51.4,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,univ_of_arizona,formula_sae_california_2008,formula_sae_california_2008_IC_14_univ_of_arizona,37.29
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Ontario Institute of Tech,81.0,39.0,203.3,,203.3,,,,,,,,0.0,80.0,,,80.0,,50.77,,50.8,,,,,,,65.0,,,,,,,,,,,,,,,1.0,90.28,,,90.28,,7.5,,,,,,,,,,,,,,,,,,,,univ_of_ontario_institute_of_tech,formula_sae_california_2008,formula_sae_california_2008_IC_81_univ_of_ontario_institute_of_tech,35.59
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,California Polytechnic State Univ-SLO,17.0,40.0,200.2,,200.2,,,,,,,,0.0,80.0,,,80.0,,60.18,,60.2,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,california_polytechnic_state_univ_slo,formula_sae_california_2008,formula_sae_california_2008_IC_17_california_polytechnic_state_univ_slo,33.9
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Shibaura Institute of Technology,9.0,41.0,193.7,,193.7,,,,,,,,0.0,40.0,,,40.0,,36.04,,36.0,,,,,,,58.0,2.0,4.665,,4.665,,39.5,1.0,6.695,6.489,6.592,,6.592,,2.5,3.0,58.848,,,58.848,,17.6,,,,,,,,,,,,,,,,,,,,shibaura_institute_of_technology,formula_sae_california_2008,formula_sae_california_2008_IC_9_shibaura_institute_of_technology,32.2
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Wayne State Univ,55.0,42.0,190.4,,190.4,,,,,,,,0.0,60.0,,,60.0,,45.35,,45.4,,,,,,,79.0,4.0,6.246,,6.246,,3.5,2.0,6.135,6.512,6.3235,,6.323,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,wayne_state_univ,formula_sae_california_2008,formula_sae_california_2008_IC_55_wayne_state_univ,30.51
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Hartford,48.0,43.0,186.9,,186.9,,,,,,,,0.0,80.0,,,80.0,,8.55,,8.6,,,,,,,61.0,2.0,5.817,,5.817,,3.5,2.0,5.512,5.482,5.497,,5.497,,26.3,4.0,61.605,,,61.605,,7.5,,,,,,,,,,,,,,,,,,,,univ_of_hartford,formula_sae_california_2008,formula_sae_california_2008_IC_48_univ_of_hartford,28.81
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Montana State Univ - Bozeman,26.0,44.0,186.9,,186.9,,,,,,,,0.0,80.0,,,80.0,,18.1,,18.1,,,,,,,58.0,4.0,5.114,,5.114,,23.4,4.0,6.094,5.951,6.0225,,6.022,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,montana_state_univ_bozeman,formula_sae_california_2008,formula_sae_california_2008_IC_26_montana_state_univ_bozeman,27.12
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Pittsburg State University,62.0,45.0,185.8,,185.8,,,,,,,,0.0,60.0,,,60.0,,42.8,,42.8,,,,,,,57.0,4.0,6.63,,6.63,,3.5,2.0,5.794,5.796,5.795,,5.795,,15.0,4.0,67.261,,,67.261,,7.5,,,,,,,,,,,,,,,,,,,,pittsburg_state_university,formula_sae_california_2008,formula_sae_california_2008_IC_62_pittsburg_state_university,25.42
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Universidad de Oriente,51.0,46.0,165.1,,165.1,,,,,,,,0.0,40.0,,,40.0,,47.56,,47.6,,,,,,,70.0,,,,,,,,,,,,,,,4.0,68.7,,,68.7,,7.5,,,,,,,,,,,,,,,,,,,,universidad_de_oriente,formula_sae_california_2008,formula_sae_california_2008_IC_51_universidad_de_oriente,23.73
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Universidad Nacional Experimental Polité,44.0,47.0,154.2,,154.2,,,,,,,,0.0,40.0,,,40.0,,37.58,,37.6,,,,,,,55.0,,,,,,,,,,,,,,,4.0,58.444,,,58.444,,21.6,,,,,,,,,,,,,,,,,,,,universidad_nacional_experimental_polit,formula_sae_california_2008,formula_sae_california_2008_IC_44_universidad_nacional_experimental_polit,22.03
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,LeTourneau Univ,60.0,48.0,151.4,,151.4,,,,,,,,0.0,60.0,,,60.0,,34.87,,34.9,,,,,,,49.0,,,,,,,,,,,,,,,4.0,60.293,,,60.293,,7.5,,,,,,,,,,,,,,,,,,,,letourneau_univ,formula_sae_california_2008,formula_sae_california_2008_IC_60_letourneau_univ,20.34
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,California State Univ - Fresno,71.0,49.0,148.9,,148.9,,,,,,,,0.0,60.0,,,60.0,,30.87,,30.9,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,california_state_univ_fresno,formula_sae_california_2008,formula_sae_california_2008_IC_71_california_state_univ_fresno,18.64
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Escuela Sup De Ing Automotriz Tlalnepa,42.0,50.0,146.5,,146.5,,,,,,,,0.0,40.0,,,40.0,,40.6,,40.6,,,,,,,34.0,3.0,5.159,,5.159,,21.9,2.0,6.508,6.544,6.526,,6.526,,2.5,4.0,63.665,,,63.665,,7.5,,,,,,,,,,,,,,,,,,,,escuela_sup_de_ing_automotriz_tlalnepa,formula_sae_california_2008,formula_sae_california_2008_IC_42_escuela_sup_de_ing_automotriz_tlalnepa,16.95
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Hunan Univ,58.0,51.0,145.6,,145.6,,,,,,,,0.0,60.0,,,60.0,,53.63,,53.6,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hunan_univ,formula_sae_california_2008,formula_sae_california_2008_IC_58_hunan_univ,15.25
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,San Diego State Univ,16.0,52.0,141.8,,141.8,,,,,,,,0.0,40.0,,,40.0,,30.1,,30.1,,,,,,,33.0,,,,,,,,,,,,,,,2.0,56.777,,,56.777,,38.7,,,,,,,,,,,,,,,,,,,,san_diego_state_univ,formula_sae_california_2008,formula_sae_california_2008_IC_16_san_diego_state_univ,13.56
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Shanghai Jiao Tong Univ,69.0,53.0,137.1,,137.1,,,,,,,,0.0,60.0,,,60.0,,48.06,,48.1,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shanghai_jiao_tong_univ,formula_sae_california_2008,formula_sae_california_2008_IC_69_shanghai_jiao_tong_univ,11.86
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Calif - Davis,56.0,54.0,128.3,,128.3,,,,,,,,0.0,60.0,,,60.0,,32.29,,32.3,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,univ_of_calif_davis,formula_sae_california_2008,formula_sae_california_2008_IC_56_univ_of_calif_davis,10.17
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Calif - Irvine,64.0,55.0,128.2,,128.2,,,,,,,,0.0,40.0,,,40.0,,51.24,,51.2,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,univ_of_calif_irvine,formula_sae_california_2008,formula_sae_california_2008_IC_64_univ_of_calif_irvine,8.47
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Arizona State Univ - Tempe,33.0,56.0,91.0,,91.0,,,,,,,,0.0,40.0,,,40.0,,24.02,,24.0,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arizona_state_univ_tempe,formula_sae_california_2008,formula_sae_california_2008_IC_33_arizona_state_univ_tempe,6.78
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Portland State Univ,66.0,57.0,90.4,,90.4,,,,,,,,0.0,40.0,,,40.0,,,,,,,,,,,12.0,4.0,4.997,,4.997,,27.3,2.0,6.139,6.158,6.1485,,6.148,,3.6,4.0,60.186,,,60.186,,7.5,,,,,,,,,,,,,,,,,,,,portland_state_univ,formula_sae_california_2008,formula_sae_california_2008_IC_66_portland_state_univ,5.08
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,South Dakota State Univ,43.0,58.0,63.3,,63.3,,,,,,,,0.0,,,,,,38.32,,38.3,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,south_dakota_state_univ,formula_sae_california_2008,formula_sae_california_2008_IC_43_south_dakota_state_univ,3.39
