Competition,Year,Class,Source File,School,Car Number,Overall Place,Total Score Raw,Total Penalty,Total Score,Country,Number of Cylinders,Number of Motors,Engine Displacement (cc),Tractive System Voltage (V),Weight (kg),Weight (lbs),Design Status (Final or Blank),Design Raw Score,Design Document Penalty,Design Late Penalty,Design Score,Presentation Status (Final or Blank or RFP),Presentation Raw Score,Presentation Penalty,Presentation Score,Cost Adjusted Cost,Cost Price Score,Cost Accuracy Score,Cost Engineering Drawings Score,Cost Scenario Score,Cost Penalty,Cost Score,Acceleration Number of Runs,Acceleration Best Time Raw,Acceleration Best Time Cones,Acceleration Best Adjusted Time,Acceleration Penalty,Acceleration Score,Skidpad Number of Runs,Skidpad Best Time Raw Left,Skidpad Best Time Raw Right,Skidpad Best Time Raw Average,Skidpad Best Time Cones,Skidpad Best Adjusted Time,Skidpad Penalty,Skidpad Score,Autocross Number of Runs,Autocross Best Time Raw,Autocross Best Time Cones,Autocross Best Time Off Course,Autocross Best Adjusted Time,Autocross Penalty,Autocross Score,Endurance Number of Laps,Endurance Time Raw,Endurance Cones,Endurance Off Course,Endurance Other Penalty,Endurance Time Adjusted,Endurance Time Score,Endurance Lap Score,Endurance Score,Efficiency Time Average Adjusted,Efficiency Laps Completed,Efficiency Fuel Used (ltr),Efficiency Energy Used (kWh),Efficiency Adjusted CO2 (kg),Efficiency Average Adjusted CO2 per Lap (kg),"Efficiency Fuel Type (E85/93/100/EV, etc.)",Efficiency Fuel Efficiency Factor,Efficiency Score,Endurance+Efficiency Score
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Maryland - College Park,19,1,813.4,,813.4,,,,,,,,0,100,,,100,,64.49,,64.5,,,,,,,79.0,4,3.912,,3.912,,75.0,4,5.135,5.047,5.091,,5.091,,45.2,4,49.322,,,49.322,,129.1,,,,,,,,,,,,,,,,,,,320.7
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Missouri University of Science and Tech,82,2,799.1,,799.1,,,,,,,,0,100,,,100,,63.49,,63.5,,,,,,,82.0,4,4.389,,4.389,,51.1,4,5.564,5.494,5.529,,5.529,,25.0,4,47.869,,,47.869,,150.0,,,,,,,,,,,,,,,,,,,327.5
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Oklahoma,79,3,788.3,,788.3,,,,,,,,0,110,,,110,,55.61,,55.6,,,,,,,84.0,4,4.423,,4.423,,49.6,2,5.027,5.068,5.0475,,5.047,,47.5,4,49.987,,,49.987,,119.9,,,,,,,,,,,,,,,,,,,321.7
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Michigan State Univ,10,4,784.6,,784.6,,,,,,,,1,140,,,140,,65.85,,65.9,,,,,,,68.0,4,4.371,,4.371,,51.9,4,5.258,5.387,5.3225,,5.322,,33.9,4,50.118,,,50.118,,118.2,,,,,,,,,,,,,,,,,,,306.7
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,California State Poly Univ - Pomona,13,5,699.8,,699.8,,,,,,,,0,80,,,80,,73.25,,73.3,,,,,,,67.0,3,9.579,,9.579,,3.5,4,4.972,5.031,5.0015,,5.001,,50.0,4,53.815,,,53.815,,71.6,,,,,,,,,,,,,,,,,,,354.4
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Western Washington Univ,35,6,693.8,,693.8,,,,,,,,1,125,,,125,,65.53,,65.5,,,,,,,70.0,4,4.145,,4.145,,62.7,4,5.128,5.230,5.179,,5.179,,40.7,4,51.032,,,51.032,,106.0,,,,,,,,,,,,,,,,,,,223.8
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Toledo,5,7,682.5,,682.5,,,,,,,,0,80,,,80,,52.48,,52.5,,,,,,,75.0,4,4.329,,4.329,,53.8,3,5.457,5.185,5.321,,5.321,,34.0,4,51.558,,,51.558,,99.2,,,,,,,,,,,,,,,,,,,288.0
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Cincinnati,83,8,665.5,,665.5,,,,,,,,0,100,,,100,,56.35,,56.4,,,,,,,77.0,4,4.392,,4.392,,51.0,4,5.223,5.242,5.2325,,5.232,,38.1,4,47.955,,,47.955,,148.7,,,,,,,,,,,,,,,,,,,194.3
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Rensselaer Polytechnic Inst,77,9,635.2,,635.2,,,,,,,,0,100,,,100,,68.98,,69.0,,,,,,,70.0,4,4.061,,4.061,,66.9,4,5.422,5.403,5.4125,,5.412,,29.9,4,53.413,,,53.413,,76.4,,,,,,,,,,,,,,,,,,,222.9
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Kansas State Univ,50,10,603.5,,603.5,,,,,,,,0,60,,,60,,49.20,,49.2,,,,,,,51.0,4,4.633,,4.633,,40.8,4,5.340,5.328,5.334,,5.334,,33.4,4,49.897,,,49.897,,121.2,,,,,,,,,,,,,,,,,,,248.0
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Chalmers Univ of Tech,49,11,601,,601.0,,,,,,,,0,60,,,60,,75.00,,75.0,,,,,,,75.0,4,4.511,,4.511,,45.8,4,5.253,5.403,5.328,,5.328,,33.7,4,51.560,,,51.560,,99.2,,,,,,,,,,,,,,,,,,,212.3
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,California State Univ - Northridge,7,12,600.3,,600.3,,,,,,,,0,80,,,80,,47.93,,47.9,,,,,,,66.0,4,4.136,,4.136,,63.1,4,5.471,5.523,5.497,,5.497,,26.3,4,51.101,,,51.101,,105.1,,,,,,,,,,,,,,,,,,,211.8
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Clemson Univ,80,13,592.9,,592.9,,,,,,,,0,60,,,60,,56.47,,56.5,,,,,,,86.0,3,4.084,,4.084,,65.7,3,5.172,5.438,5.305,,5.305,,34.7,4,50.605,,,50.605,,111.6,,,,,,,,,,,,,,,,,,,178.3
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Idaho,29,14,553.4,,553.4,,,,,,,,0,60,,,60,,50.41,,50.4,,,,,,,65.0,4,4.309,,4.309,,54.8,4,5.422,5.509,5.4655,1,5.590,,22.6,4,55.080,,,55.080,,57.1,,,,,,,,,,,,,,,,,,,243.5
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Alberta,46,15,491,,491.0,,,,,,,,0,80,,,80,,54.46,,54.5,,,,,,,73.0,4,4.115,,4.115,,64.2,4,5.701,5.612,5.6565,,5.656,,20.0,4,58.312,,,58.312,,22.9,,,,,,,,,,,,,,,,,,,176.4
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,South Dakota Sch of Mines & Tech,6,16,478.5,,478.5,,,,,,,,0,120,,,120,,71.32,,71.3,,,,,,,55.0,4,4.443,,4.443,,48.7,4,5.096,5.144,5.12,,5.120,,43.7,4,48.569,,,48.569,,139.8,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Washington,12,17,475.7,,475.7,,,,,,,,1,135,,,135,,60.14,,60.1,,,,,,,64.0,4,4.442,,4.442,,48.8,4,5.171,5.213,5.192,,5.192,,40.1,4,49.423,,,49.423,,127.7,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Ecole Polytechnique De Montreal,78,18,465.3,,465.3,,,,,,,,0,100,,,100,,67.31,,67.3,,,,,,,61.0,4,4.594,,4.594,,42.4,4,5.276,5.363,5.3195,,5.319,,34.1,4,52.753,,,52.753,,84.3,,,,,,,,,,,,,,,,,,,76.2
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Texas - Austin,47,19,454.2,,454.2,,,,,,,,0,60,,,60,,49.56,,49.6,,,,,,,69.0,4,5.157,,5.157,,22.0,4,5.556,5.421,5.4885,1,5.613,,21.7,4,55.169,,,55.169,,56.1,,,,,,,,,,,,,,,,,,,175.9
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Manitoba,28,20,447.7,,447.7,,,,,,,,0,120,,,120,,57.72,,57.7,,,,,,,78.0,1,5.865,,5.865,,3.5,,,,,,,,,4,54.840,,,54.840,,59.8,,,,,,,,,,,,,,,,,,,128.7
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Honda Technical College Kansai,73,21,436.3,,436.3,,,,,,,,0,60,,,60,,47.66,,47.7,,,,,,,64.0,4,5.327,,5.327,,16.7,4,5.140,5.257,5.1985,,5.198,,39.8,4,55.750,,,55.750,,49.7,,,,,,,,,,,,,,,,,,,158.4
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Oregon State Univ,22,22,429.5,,429.5,,,,,,,,0,100,,,100,,60.67,,60.7,,,,,,,62.0,4,4.113,,4.113,,64.3,4,5.120,5.073,5.0965,,5.096,,44.9,2,51.684,,,51.684,,97.6,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Centro Universitario Da FEI,11,23,382.1,,382.1,,,,,,,,0,110,,,110,,44.47,,44.5,,,,,,,73.0,4,4.380,,4.380,,51.5,2,5.667,5.629,5.648,1,5.773,,15.7,4,52.505,,,52.505,,87.4,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of New Mexico,32,24,358.6,,358.6,,,,,,,,0,80,,,80,,57.32,,57.3,,,,,,,58.0,4,4.291,,4.291,,55.6,4,5.528,5.572,5.55,,5.550,,24.2,4,52.822,,,52.822,,83.5,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Calif - Berkeley,21,25,354.5,,354.5,,,,,,,,0,80,,,80,,64.64,,64.6,,,,,,,69.0,4,5.552,,5.552,,10.1,4,5.131,5.373,5.252,,5.252,,37.2,4,52.006,,,52.006,,93.6,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Delaware,30,26,319.8,,319.8,,,,,,,,0,80,,,80,,46.60,,46.6,,,,,,,57.0,4,5.110,,5.110,,23.5,4,5.459,5.543,5.501,,5.501,,26.2,4,52.574,,,52.574,,86.5,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Brigham Young Univ,37,27,307.6,,307.6,,,,,,,,0,110,,,110,,58.22,,58.2,,,,,,,60.0,2,4.497,,4.497,,46.4,4,5.530,5.509,5.5195,,5.519,,25.4,3,61.014,,,61.014,,7.5,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Texas - San Antonio,34,28,302,,302.0,,,,,,,,0,40,,,40,,54.17,,54.2,,,,,,,52.0,4,4.829,,4.829,,33.3,3,5.657,5.591,5.624,,5.624,,21.3,4,51.398,,,51.398,,101.3,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Oklahoma State Univ,53,29,298.9,,298.9,,,,,,,,0,100,,,100,,37.40,,37.4,,,,,,,75.0,4,4.764,,4.764,,35.7,4,5.784,5.683,5.7335,,5.733,,17.2,4,57.264,,,57.264,,33.6,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of British Columbia,27,30,297.7,,297.7,,,,,,,,0,60,,,60,,34.22,,34.2,,,,,,,83.0,2,4.383,,4.383,,51.4,2,5.599,5.914,5.7565,1,5.881,,12.0,3,53.085,1,,55.085,,57.1,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Dartmouth College,39,31,284.8,,284.8,,,,,,,,0,40,,,40,,63.63,,63.6,,,,,,,63.0,4,4.690,,4.690,,38.6,4,5.384,5.904,5.644,,5.644,,20.5,2,54.901,,,54.901,,59.1,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Instituto Tecnologico de Chihuahua,40,32,284.6,,284.6,,,,,,,,0,80,,,80,,61.06,,61.1,,,,,,,66.0,2,4.623,,4.623,,41.2,2,6.850,6.622,6.736,,6.736,,2.5,4,57.243,,,57.243,,33.8,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Northern Illinois Univ,45,33,278.7,,278.7,,,,,,,,0,110,,,110,,59.66,,59.7,,,,,,,86.0,,,,,,,,,,,,,,,4,58.305,,,58.305,,23.0,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Washington State Univ,31,34,274.6,,274.6,,,,,,,,0,60,,,60,,42.53,,42.5,,,,,,,63.0,4,5.033,,5.033,,26.1,4,5.503,5.569,5.536,,5.536,,24.7,4,54.978,,,54.978,,58.3,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Southern California,20,35,257.4,,257.4,,,,,,,,0,80,,,80,,38.15,,38.2,,,,,,,68.0,4,5.189,,5.189,,20.9,3,5.808,6.390,6.099,4,6.599,,2.5,4,55.928,,,55.928,,47.8,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Minnesota - Twin Cities,61,36,255.7,,255.7,,,,,,,,0,60,,,60,,34.89,,34.9,,,,,,,36.0,4,4.488,,4.488,,46.8,4,5.296,5.524,5.41,,5.410,,30.0,4,55.906,,,55.906,,48.0,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Polytechnic Univ - Brooklyn,41,37,223.6,,223.6,,,,,,,,0,40,,,40,,28.16,,28.2,,,,,,,60.0,4,5.035,,5.035,,26.0,4,5.658,5.814,5.736,,5.736,,17.1,3,55.507,,,55.507,,52.4,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Arizona,14,38,215.4,,215.4,,,,,,,,0,80,,,80,,51.41,,51.4,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Ontario Institute of Tech,81,39,203.3,,203.3,,,,,,,,0,80,,,80,,50.77,,50.8,,,,,,,65.0,,,,,,,,,,,,,,,1,90.280,,,90.280,,7.5,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,California Polytechnic State Univ-SLO,17,40,200.2,,200.2,,,,,,,,0,80,,,80,,60.18,,60.2,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Shibaura Institute of Technology,9,41,193.7,,193.7,,,,,,,,0,40,,,40,,36.04,,36.0,,,,,,,58.0,2,4.665,,4.665,,39.5,1,6.695,6.489,6.592,,6.592,,2.5,3,58.848,,,58.848,,17.6,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Wayne State Univ,55,42,190.4,,190.4,,,,,,,,0,60,,,60,,45.35,,45.4,,,,,,,79.0,4,6.246,,6.246,,3.5,2,6.135,6.512,6.3235,,6.323,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Hartford,48,43,186.9,,186.9,,,,,,,,0,80,,,80,,8.55,,8.6,,,,,,,61.0,2,5.817,,5.817,,3.5,2,5.512,5.482,5.497,,5.497,,26.3,4,61.605,,,61.605,,7.5,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Montana State Univ - Bozeman,26,44,186.9,,186.9,,,,,,,,0,80,,,80,,18.10,,18.1,,,,,,,58.0,4,5.114,,5.114,,23.4,4,6.094,5.951,6.0225,,6.022,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Pittsburg State University,62,45,185.8,,185.8,,,,,,,,0,60,,,60,,42.80,,42.8,,,,,,,57.0,4,6.630,,6.630,,3.5,2,5.794,5.796,5.795,,5.795,,15.0,4,67.261,,,67.261,,7.5,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Universidad de Oriente,51,46,165.1,,165.1,,,,,,,,0,40,,,40,,47.56,,47.6,,,,,,,70.0,,,,,,,,,,,,,,,4,68.700,,,68.700,,7.5,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Universidad Nacional Experimental Polité,44,47,154.2,,154.2,,,,,,,,0,40,,,40,,37.58,,37.6,,,,,,,55.0,,,,,,,,,,,,,,,4,58.444,,,58.444,,21.6,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,LeTourneau Univ,60,48,151.4,,151.4,,,,,,,,0,60,,,60,,34.87,,34.9,,,,,,,49.0,,,,,,,,,,,,,,,4,60.293,,,60.293,,7.5,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,California State Univ - Fresno,71,49,148.9,,148.9,,,,,,,,0,60,,,60,,30.87,,30.9,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Escuela Sup De Ing Automotriz Tlalnepa,42,50,146.5,,146.5,,,,,,,,0,40,,,40,,40.60,,40.6,,,,,,,34.0,3,5.159,,5.159,,21.9,2,6.508,6.544,6.526,,6.526,,2.5,4,63.665,,,63.665,,7.5,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Hunan Univ,58,51,145.6,,145.6,,,,,,,,0,60,,,60,,53.63,,53.6,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,San Diego State Univ,16,52,141.8,,141.8,,,,,,,,0,40,,,40,,30.10,,30.1,,,,,,,33.0,,,,,,,,,,,,,,,2,56.777,,,56.777,,38.7,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Shanghai Jiao Tong Univ,69,53,137.1,,137.1,,,,,,,,0,60,,,60,,48.06,,48.1,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Calif - Davis,56,54,128.3,,128.3,,,,,,,,0,60,,,60,,32.29,,32.3,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Calif - Irvine,64,55,128.2,,128.2,,,,,,,,0,40,,,40,,51.24,,51.2,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Arizona State Univ - Tempe,33,56,91,,91.0,,,,,,,,0,40,,,40,,24.02,,24.0,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Portland State Univ,66,57,90.4,,90.4,,,,,,,,0,40,,,40,,,,,,,,,,,12.0,4,4.997,,4.997,,27.3,2,6.139,6.158,6.1485,,6.148,,3.6,4,60.186,,,60.186,,7.5,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,South Dakota State Univ,43,58,63.3,,63.3,,,,,,,,0,,,,,,38.32,,38.3,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Oregon Inst of Tech,70,59,8,,8.0,,,,,,,,0,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Houston - Houston,54,60,-14,,-14.0,,,,,,,,0,,,,,,,,,,,,,,,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Texas A & M Univ - College Station,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Kansas - Lawrence,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Auburn Univ,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Calif - San Diego,15,,,,,,,,,,,,0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Calif - Riverside,18,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Colorado State Univ,23,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Washington Univ - St Louis,24,,,,,,,,,,,,0,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,California State Univ - Sacramento,25,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Polytechnic Univ of Puerto Rico,36,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Marquette Univ,38,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,California State Univ - Fullerton,52,,,,,,,,,,,,0,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,New Jersey Inst\Tech(Newark Coll),57,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Minnesota - Duluth,59,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Stanford Univ,63,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Universidad Metropolitana,65,,,,,,,,,,,,0,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,California State Univ - Long Beach,67,,,,,,,,,,,,0,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Santa Clara Univ,68,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Alabama - Tuscaloosa,72,,,,,,,,,,,,0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Nevada - Reno,74,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,American University of Sharjah,75,,,,,,,,,,,,0,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,ITESM - Campus QRO,76,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Victoria,84,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula SAE California,2009,IC,FSAE_California/results_2009.xlsx,Rochester Institute of Technology,66,1,885.6,,885.6,,,,,,,,1,145,,,145,,73.05,,73.1,"$10,269",37,,,20,,87.0,4,4.052,,4.052,,72.8,4,5.156,5.141,5.1485,,5.148,,43.3,4,62.538,,,62.538,,150.0,,,,,,,,,,,,,,,,,,,314.4
Formula SAE California,2009,IC,FSAE_California/results_2009.xlsx,Oregon State Univ,14,2,886.7,10,876.7,,,,,,,,1,143,,,143,,74.01,,74.0,"$20,377",7,,,20,,48.0,4,4.098,,4.098,,70.2,3,5.267,5.505,5.386,,5.386,,31.8,4,64.304,,,64.304,,130.5,,,,,,,,,,,,,,,,,,,389.2
Formula SAE California,2009,IC,FSAE_California/results_2009.xlsx,Univ of Kansas - Lawrence,69,3,815.3,,815.3,,,,,,,,0,130,,,130,,64.29,,64.3,"$20,146",7,,,18,,47.0,2,4.698,,4.698,,41.2,3,5.207,5.905,5.556,,5.556,,24.5,4,62.779,,,62.779,,147.3,,,,,,,,,,,,,,,,,,,361.0
Formula SAE California,2009,IC,FSAE_California/results_2009.xlsx,Univ of Maryland - College Park,1,4,800.8,,800.8,,,,,,,,0,110,,,110,,56.22,,56.2,"$12,670",26,,,18,,71.0,4,4.061,,4.061,,72.3,4,5.275,5.242,5.2585,,5.258,,37.8,4,63.155,,,63.155,,143.0,,,,,,,,,,,,,,,,,,,310.5
Formula SAE California,2009,IC,FSAE_California/results_2009.xlsx,Univ of Oklahoma,3,5,798.9,,798.9,,,,,,,,0,110,,,110,,67.55,,67.6,"$11,920",29,,,13,,65.0,4,4.331,,4.331,,58.0,4,5.169,5.278,5.2235,,5.223,,39.5,4,64.962,,,64.962,,123.5,,,,,,,,,,,,,,,,,,,335.4
Formula SAE California,2009,IC,FSAE_California/results_2009.xlsx,Western Washington Univ,6,6,743.9,,743.9,,,,,,,,0,120,,,120,,69.55,,69.6,"$21,747",5,,,19,,49.0,4,4.189,,4.189,,65.3,4,5.453,5.498,5.4755,,5.475,,27.9,4,64.675,,,64.675,,126.5,,,,,,,,,,,,,,,,,,,285.7
Formula SAE California,2009,IC,FSAE_California/results_2009.xlsx,Univ of Texas - Arlington,13,7,727.7,,727.7,,,,,,,,0,110,,,110,,54.38,,54.4,"$16,237",15,,,13,,50.0,4,4.197,,4.197,,64.8,4,5.179,5.365,5.272,,5.272,,37.1,4,64.370,,,64.370,,129.8,,,,,,,,,,,,,,,,,,,281.6
