Competition,Year,Class,Source File,School,Car Number,Overall Place,Total Score Raw,Total Penalty,Total Score,Country,Number of Cylinders,Number of Motors,Engine Displacement (cc),Tractive System Voltage (V),Weight (kg),Weight (lbs),Design Status (Final or Blank),Design Raw Score,Design Document Penalty,Design Late Penalty,Design Score,Presentation Status (Final or Blank or RFP),Presentation Raw Score,Presentation Penalty,Presentation Score,Cost Adjusted Cost,Cost Price Score,Cost Accuracy Score,Cost Engineering Drawings Score,Cost Scenario Score,Cost Penalty,Cost Score,Acceleration Number of Runs,Acceleration Best Time Raw,Acceleration Best Time Cones,Acceleration Best Adjusted Time,Acceleration Penalty,Acceleration Score,Skidpad Number of Runs,Skidpad Best Time Raw Left,Skidpad Best Time Raw Right,Skidpad Best Time Raw Average,Skidpad Best Time Cones,Skidpad Best Adjusted Time,Skidpad Penalty,Skidpad Score,Autocross Number of Runs,Autocross Best Time Raw,Autocross Best Time Cones,Autocross Best Time Off Course,Autocross Best Adjusted Time,Autocross Penalty,Autocross Score,Endurance Number of Laps,Endurance Time Raw,Endurance Cones,Endurance Off Course,Endurance Other Penalty,Endurance Time Adjusted,Endurance Time Score,Endurance Lap Score,Endurance Score,Efficiency Time Average Adjusted,Efficiency Laps Completed,Efficiency Fuel Used (ltr),Efficiency Energy Used (kWh),Efficiency Adjusted CO2 (kg),Efficiency Average Adjusted CO2 per Lap (kg),"Efficiency Fuel Type (E85/93/100/EV, etc.)",Efficiency Fuel Efficiency Factor,Efficiency Score,Endurance+Efficiency Score
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,University of Akron,58,10,682.747027,,682.747027336692,,,,,,,,,70,,,70,,47.5195274599203,,47.5195274599203,,,,,,,82.4465369749804,4,4.454,,4.454,,53.3421971154265,2,,,5.404,,5.404,,29.5019813288312,4,41.568,,,41.568,,114.004763279446,,,,,,,,,,,,,,,,,,,285.932021178088
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Sophia University,35,11,675.992927,,675.99292667702,,,,,,,,,105,,,105,,70.6006605246587,,70.6006605246587,,,,,,,77.0296705105419,4,4.125,,4.125,,70.4719878373242,4,,,5.264,,5.264,,35.6595715905072,4,46.162,,,46.162,,46.6796282656732,,,,,,,,,,,,,,,,,,,270.551407948315
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,California State Poly Univ-San Luis Obis,23,12,669.692522,,669.692521544972,,,,,,,,,120,,,120,,53.6737259383892,,53.6737259383892,,,,,,,63.8943442046615,2,5.226,,5.226,,21.6152702848358,4,,,5.1135,,5.1135,,42.8511322189549,4,42.989,,,42.989,,91.6429202819327,,,,,,,,,,,,,,,,,,,276.015128616198
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Clemson University,65,13,645.949135,,645.949134950892,,,,,,,,,70,,,70,,40.6150390203716,,40.6150390203716,,,,,,,77.4104837161086,4,4.184,,4.184,,67.2018451133819,4,,,5.228,,5.228,,37.3234441122378,4,44.775,,,44.775,,65.5502512562815,,,,,,,,,,,,,,,,,,,287.84807173251
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Chalmers Univ of Tech,13,14,564.53757,,564.53756990879,,,,,,,,,105,,,105,,55.2709478058491,,55.2709478058491,,,,,,,81.9083077660525,3,4.361,,4.361,,57.9223183514498,3,,,5.4,,5.4,,29.671293645616,4,44.706,,,44.706,,66.5195946852772,,,,,,,,,,,,,,,,,,,168.245107654546
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,University of Kansas-Lawrence,55,15,555.560708,,555.560707593451,,,,,,,,,70,,,70,,58.5556440970711,,58.5556440970711,,,,,,,64.7341084610976,4,4.184,,4.184,,67.2018451133819,4,,,5.3005,,5.3005,,34.0070826601631,4,39.468,,,39.468,,150,,,,,,,,,,,,,,,,,,,111.062027261737
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Kettering University,40,16,492.638494,,492.638494319697,,,,,,,,,50,,,50,,41.0692461333693,,41.0692461333693,,,,,,,67.6126693396206,2,5.007,,5.007,,29.621488866556,2,,,5.8425,,5.8425,,12.9967715552149,4,45.205,,,45.205,,59.5760977767947,,,,,,,,,,,,,,,,,,,231.762220648142
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Michigan State Univ,62,17,476.713719,,476.713719271294,,,,,,,,,120,,,120,,72.6279820473919,,72.6279820473919,,,,,,,52.4447094137164,4,4.307,,4.307,,60.6725110590037,4,,,5.2145,,5.2145,,37.9562987060694,4,40.432,,,40.432,,133.012218045113,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Faculdade de Engenharia de Sorocaba,47,18,466.558217,,466.558217116969,,,,,,,,,30,,,30,,36.8124248490044,,36.8124248490044,,,,,,,94.0166794924179,4,4.427,,4.427,,54.6520856906116,3,,,5.73,,5.73,,16.8723382203951,4,46.379,,,46.379,,43.8293732077019,,,,,,,,,,,,,,,,,,,190.375315656838
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Ecole De Technologie Superieure,63,19,461.362737,,461.362737325418,,,,,,,,,150,,,150,,70.2465533718096,,70.2465533718096,,,,,,,89.0100579396694,4,4.627,,4.627,,45.3119905743863,4,,,5.289,,5.289,,34.5240399563803,4,44.301,,,44.301,,72.2700954831721,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Oregon State Univ,27,20,438.918643,,438.918643085895,,,,,,,,,90,,,90,,75,,75,,,,,,,78.2162876452643,4,4.046,,4.046,,75,4,,,5.5915,,5.5915,,21.9685800455971,4,42.528,,,42.528,,98.733775395034,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,California State Poly Univ - Pomona,29,21,422.452362,,422.452362263449,,,,,,,,,90,,,90,,64.6367141549999,,64.6367141549999,,,,,,,68.8934663746342,4,4.163,,4.163,,68.3551696530575,4,,,5.43,,5.43,,28.4105560075813,4,42.309,,,42.309,,102.156456073176,,,,,,,,,,,,,,,,,,,0
