Levi Rodrigues Jr.
Li Jingliang
Loma Lookboonmee
Lone'er Kavanagh
Loopy Godinez
Losene Keita
Louie Sutherland
Louis Jourdain
Louis Lee Scott
Luana Pinheiro
Luana Santos
Lucas Rocha
Lucas Brennan
Ludovit Klein
Luis Dias de Assis
Luis Gurule
Luke Fernandez
Luke Riley
Mackenzie Dern
Macy Chiasson
Magomed Zaynukov
Magomed Ankalaev
Mairon Santos
Malcolm Wellmaker
Mandel Nallo
Manel Kape
Manoel Sousa
Manolo Zecchini
Manon Fiorot
Mansur Abdul-Malik
Mantas Kondratavicius
Manuel Torres
Marc-Andre Barriault
Marcin Tybura
Marcio Barbosa
Marco Tulio
Marcus Buchecha
Marcus McGhee
Mario Pinto
Mario Bautista
Mark Choinski
Mark Vologdin
Marlon Vera
Marnic Mann
MarQuel Mederos
Marvin Vettori
Marwan Rahiki
Mason Jones
Mateusz Rebecki
Mateusz Gamrot
Matheus Camilo
Matt Frevola
Matt Schnell
Mauricio Ruffy
Max Holloway
Max Griffin
Max Gimenis
Maycee Barber
Mayra Bueno Silva
Melissa Gatto
Melissa Mullins
Melissa Croden
Melquizael Costa
Melsik Baghdasaryan
Merab Dvalishvili
Michael Johnson
Michael Morales
Michael Chandler
Michael Page
Michael Aswell Jr.
Michael Oliveira
Michal Oleksiejczuk
Michel Pereira
Michelle Montague
Mick Parkin
Mickey Gall
Miesha Tate
Mike Davis
Mike Malott
Miles Johns
Miranda Maverick
Mitch Ramirez
Mitch Raposo
Modestas Bukauskas
Montel Jackson
Montserrat Conejo Ruiz
Morgan Charriere
Movsar Evloev
Muhammad Naimov
Muin Gafurov
Murtazali Magomedov
Muslim Salikhov
Myktybek Orolbai
Nasrat Haqparast
Nassourdine Imavov
Natalia Silva
Nate Landwehr
Nathaniel Wood
Navajo Stirling
Nazim Sadykhov
Neil Magny
Nick Klein
Nicolas Dalby
Nicolle Caliari
Nikita Krylov
Nikolas Motta
Nikolay Veretennikov
Nora Cornolle
Norma Dumont
Nursulton Ruziboev
Nurullo Aliev
Nyamjargal Tumendemberel
Oban Elliott
Ode Osbourne
Ollie Schmid
Ottman Azaitar
Oumar Sy
Ozzy Diaz
Paddy Pimblett
Pat Sabatini
Patricio Freire
Paulo Costa
Payton Talbott
Pete Rodriguez
Petr Yan
Piera Rodriguez
Polyana Viana
Priscila Cachoeira
Puja Tomar
Punahele Soriano
Quillan Salkilld
Rafa Garcia
Rafael Estevam
Rafael Fiziev
Rafael Tobias
Rafael Dos Anjos
Ramazan Temirov
Ramiro Jimenez
Ramiz Brahimaj
Ramon Taveras
Randy Brown
Rani Yahya
Raoni Barcelos
Raquel Pennington
Raul Rosas Jr.
Ravena Oliveira
Rayanne dos Santos
Regina Tarin
Rei Tsuruya
Reinier de Ridder
Renato Moicano
Ricky Simon
Ricky Turcios
Rinya Nakamura
Rizvan Kuniev
Rob Font
Robert Bryczek
Robert Whittaker
Robert Valentin
Robert Ruchala
Roberto Romero
Rodolfo Bellato
Rodolfo Vieira
Rodrigo Vera
Rodrigo Sezinando
Roman Dolidze
Roman Kopylov
Ronaldo Rodriguez
Rose Namajunas
Ryan Gandra
Ryan Spann
Ryan Loder
Said Nurmagomedov
Saimon Oliveira
Sam Hughes
Sam Patterson
Samuel Sanches
Santiago Luna
Santiago Ponzinibbio
Saygid Izagakhmaev
Sean O'Malley
Sean Strickland
Sean Sharaf
Sean Woodson
Sean Brady
Sedriques Dumas
Seokhyeon Ko
Sergei Pavlovich
Serghei Spivac
Serhiy Sidey
Shamil Gaziev
Shanelle Dyer
Shara Magomedov
Shauna Bannon
Shavkat Rakhmonov
Shayilan Nuerdanbieke
Shi Ming
Sodiq Yusuff
Sofia Montenegro
Song Yadong
Song Kenan
Stephanie Luciano
Stephen Thompson
Steve Garcia
Steve Erceg
Steven Asplund
Steven Nguyen
Stewart Nicoll
SuYoung You
Tabatha Ricci
Tagir Ulanbekov
Tai Tuivasa
Tainara Lisboa
Taiyilake Nueraji
Talita Alencar
Tallison Teixeira
Tanner Boser
Tatiana Suarez
Tatsuro Taira
Tereza Bleda
Terrance McKinney
Terrance Saeteurn
Themba Gorimbo
Thiago Moises
Thomas Gantt
Thomas Petersen
Tim Means
Tim Elliott
Timmy Cuamba
Tofiq Musayev
Tom Nolan
Tom Aspinall
Tommy McMillen
Torrez Finney
Toshiomi Kazama
Tracy Cortez
Tresean Gore
Treston Vines
Trevor Peek
Trey Ogden
Trey Waters
Tuco Tokkos
Ty Miller
Tyrell Fortune
Umar Nurmagomedov
Uran Satybaldiev
Uros Medic
Valentina Shevchenko
Valter Walker
Vanessa Demopoulos
Veronica Hardy
Vicente Luque
Victor Valenzuela
Victor Martinez
Victor Henry
Vince Morales
Vinicius Oliveira
Virna Jandiroba
Vitor Petrino
Volkan Oezdemir
Waldo Cortes-Acosta
Wang Cong
Wellington Turman
Wes Schultz
William Gomis
Xiao Long
Yadier del Valle
Yair Rodriguez
Yan Xiaonan
Yana Santos
Yaroslav Amosov
Yazmin Jauregui
Yi Sak Lee
Yousri Belgaroui
Youssef Zalal
Yuneisy Duben
Zachary Reese
Zhang Mingyang
Zhang Weili
Zhu Kangjie
